|   Sno. | Title                                        | Type   | Genre                       | Country of Origin                | Released in   | Language                                                              | Remarks/Opinions                                                                                                                                                                                                                                                                                                                                                                                                            | Personal Rating   |
|     42 | John Wick                                    | Movie  | Action                      | United States                    | 2014          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 8.0               |
|     43 | John Wick: Chapter 2                         | Movie  | Action                      | United States                    | 2017          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 8.0               |
|     44 | John Wick: Chapter 3                         | Movie  | Action                      | United States                    | 2019          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 8.0               |
|     45 | John Wick: Chapter 4                         | Movie  | Action                      | United States                    | 2023          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 9.0               |
|     46 | Kota Factory                                 | Series | Unknown                     | Unknown                          | nan           | Unknown                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     47 | La La Land                                   | Movie  | Romantic Musical            | United States                    | 2016          | English                                                               | Loved it. It's slow so won't recommend if you're not into musicals.                                                                                                                                                                                                                                                                                                                                                         | 8.5               |
|     48 | Looper                                       | Movie  | Sci-Fi                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     49 | Lost in Space                                | Series | Sci-Fi/Drama/Psychology     | United States                    | 2018-21       | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 8.0               |
|     50 | Lost in Translation                          | Movie  | Drama                       | United States                    | 2003          | English                                                               | A different perspective on life.                                                                                                                                                                                                                                                                                                                                                                                            | 9.0               |
|     51 | Lucy 2014                                    | Movie  | Sci-Fi                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     52 | Minions movie series                         | Series | Animation                   | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     53 | Nobody                                       | Movie  | Action                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     54 | Oblivion                                     | Movie  | Sci-Fi                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     55 | One Day                                      | Movie  | Drama                       | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     56 | Out of Sight                                 | Movie  | Crime/Thriller/comedy       | United States                    | 1998          | English                                                               | Classic late 90s comedy thriller.                                                                                                                                                                                                                                                                                                                                                                                           | 7                 |
|     57 | P.S. I love you                              | Movie  | Romance                     | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     58 | Predestination                               | Movie  | Sci-Fi                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     59 | Reacher                                      | Series | Action                      | United States                    | 2022-present  | English                                                               | Good adaptation of the novels.                                                                                                                                                                                                                                                                                                                                                                                              | 8.0               |
|     60 | Shaitaan                                     | Movie  | Drama/Thriller              | India                            | 2024          | Hindi                                                                 | A bit disturbing but a one time watch.                                                                                                                                                                                                                                                                                                                                                                                      | 6.5               |
|     61 | Shutter Island                               | Movie  | Mystery/Psychology/Thriller | United States                    | 2010          | English                                                               | Kinda stuff that keeps me mentally stimulated. A must watch movie if the said genre is your thing. The plot got the perfect amount of pain, anger, confusion and distress.                                                                                                                                                                                                                                                  | 9.5               |
|     62 | Source Code                                  | Movie  | Sci-Fi                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     63 | Spider-Man                                   | Movie  | Sci-Fi Action               | United States                    | 2002          | English                                                               | Classic. Loved it.                                                                                                                                                                                                                                                                                                                                                                                                          | 8.0               |
|     64 | Spider-Man 2                                 | Movie  | Sci-Fi Action               | United States                    | 2004          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     65 | Spider-Man 3                                 | Movie  | Sci-Fi Action               | United States                    | 2007          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     66 | Spider-Man: Far From Home                    | Movie  | nan                         | United States                    | 2019          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     67 | Spider-Man: Homecoming                       | Movie  | nan                         | United States                    | 2017          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     68 | Spider-Man: No Way Home                      | Movie  | nan                         | United States                    | 2021          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     69 | Stranger Things                              | Series | Unknown                     | Unknown                          | nan           | Unknown                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     70 | Tenet                                        | Movie  | Sci-Fi                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     71 | The Age of Adaline                           | Movie  | Romantic Fantasy            | United States                    | 2015          | English                                                               | Love, Deception, Time and Dillemma.                                                                                                                                                                                                                                                                                                                                                                                         | 8.5               |
|     72 | The Amazing Spider-Man                       | Movie  | Sci-Fi Action               | United States                    | 2012          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 8.0               |
|     73 | The Amazing Spider-Man 2                     | Movie  | Sci-Fi Action               | United States                    | 2014          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 8.0               |
|     74 | The Avengers                                 | nan    | nan                         | nan                              | nan           | nan                                                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     75 | The Big Bang Theory                          | Sitcom | Comedy                      | United States                    | 2007-19       | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 10                |
|     76 | The Devil's Hour                             | Series | Thriller/Sci-Fi             | United Kingdom                   | 2022          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 8                 |
|     77 | The Equalizer movie series                   | Series | Action                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     78 | The Matrix                                   | Movie  | Sci-Fi/Action               | United States                    | 1999          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     79 | The Matrix Reloaded                          | Movie  | Sci-Fi/Action               | United States                    | 2003          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     80 | The Matrix Resurrections                     | Movie  | Sci-Fi/Action               | United States                    | 2021          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     81 | The Matrix Revolutions                       | Movie  | Sci-Fi/Action               | United States                    | 2003          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
